                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.01241,                0.83478,                      1,                 0.4975,             6.3689e-05,             6.3689e-05,             6.3689e-05
                    141,                0.00791,                0.81739,                      1,                0.51123,             5.8976e-05,             5.8976e-05,             5.8976e-05
                    142,                0.00406,                0.81739,                      1,                0.49927,             5.4264e-05,             5.4264e-05,             5.4264e-05
                    143,                0.00669,                0.82609,                      1,                0.52261,             4.9552e-05,             4.9552e-05,             4.9552e-05
                    144,                0.00368,                0.82609,                      1,                0.45953,             4.4839e-05,             4.4839e-05,             4.4839e-05
                    145,                0.00174,                0.82609,                      1,                 0.4509,             4.0127e-05,             4.0127e-05,             4.0127e-05
                    146,                0.01249,                0.84348,                      1,                0.49173,             3.5414e-05,             3.5414e-05,             3.5414e-05
                    147,                0.00863,                0.84348,                      1,                0.46954,             3.0702e-05,             3.0702e-05,             3.0702e-05
                    148,                0.00238,                0.84348,                      1,                0.51566,              2.599e-05,              2.599e-05,              2.599e-05
                    149,                 0.0036,                0.84348,                      1,                0.44351,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    150,                0.02479,                0.83478,                      1,                 0.4838,             1.6565e-05,             1.6565e-05,             1.6565e-05
