id,cyto_area,pb_area,area_ratio
25-5-f,98633.0,4142.5,0.04199912808086543
25-5,98633.0,4142.5,0.04199912808086543
25-6-f,102092.0,3074.5,0.030114994318849665
25-6,102092.0,3074.5,0.030114994318849665
26-1-f,92352.0,2633.0,0.028510481635481637
26-1,92352.0,2633.0,0.028510481635481637
26-2-f,91866.0,2088.0,0.022728757102736596
26-2,91866.0,2088.0,0.022728757102736596
26-3-f,90591.5,-,-
26-3,90591.5,-,-
27-1-f,103817.0,2018.5,0.019442865811957578
27-1,103817.0,2018.5,0.019442865811957578
27-2-f,97306.0,1897.0,0.01949520070704787
27-2,97306.0,1897.0,0.01949520070704787
28-1-f,98676.5,2941.5,0.029809529117875076
28-10-f,102061.0,3051.5,0.029898786020125218
28-10,102061.0,3023.5,0.029624440285711488
28-11-f,95429.5,3455.0,0.03620473752875159
28-11,95429.5,3445.0,0.036099948129247245
28-12-f,107069.5,2716.0,0.02536670106799789
28-12,107069.5,2716.0,0.02536670106799789
28-1,98710.5,2924.5,0.029627040689693598
28-2-f,101186.0,2671.0,0.026396932381950074
28-2,101224.0,2671.0,0.026387022840433098
28-3-f,105012.0,3310.5,0.03152496857502
28-3,105012.0,3310.5,0.03152496857502
28-4-f,102773.5,3127.5,0.03043099631714401
28-4,102773.5,3127.5,0.03043099631714401
28-5-f,99631.5,2308.0,0.023165364367694955
28-5,99664.0,2308.0,0.023157810242414513
28-6-f,100640.0,2772.5,0.02754868839427663
28-6,100640.0,2772.5,0.02754868839427663
28-7-f,97861.5,2283.5,0.023333997537335928
28-7,97829.0,2283.5,0.023341749379018492
28-8-f,108042.5,3121.5,0.028891408473517365
28-8,108042.5,3112.0,0.028803480111992966
28-9-f,99231.5,2384.0,0.02402462927598595
28-9,99202.5,2384.0,0.02403165242811421
29-1-f,96132.0,1944.5,0.020227395664294927
29-1,96132.0,1944.5,0.020227395664294927
29-2-f,98666.5,1903.0,0.01928719474188301
29-2,98666.5,1903.0,0.01928719474188301
29-3-f,96741.0,2925.0,0.03023537073216113
29-3,96698.0,2913.0,0.03012471819479203
29-4-f,98976.5,1843.0,0.018620581653220714
29-4,99018.5,1843.0,0.01861268348843903
29-5-f,90781.0,2376.0,0.026172877584516585
29-5,90781.0,2355.5,0.025947059406704047
29-6-f,97798.0,2737.0,0.02798625738767664
29-6,97768.0,2738.5,0.0280101873823746
3-1-f,93009.5,1707.5,0.01835833973948898
3-1,93044.0,1714.0,0.018421392029577405
3-2-f,102002.5,2449.0,0.02400921546040538
3-2,101970.5,2449.0,0.0240167499423853
3-3-f,92196.5,2214.0,0.024013926775962213
3-3,92251.5,2232.5,0.024200148507070345
3-4-f,78798.0,3245.0,0.04118124825503185
3-4,78759.0,3259.0,0.04137939791008012
3-5-f,95094.0,2412.5,0.02536963425663028
3-5,95114.5,2396.0,0.025190691219530145
3-6-f,92125.0,2065.0,0.022415196743554952
3-6,92072.5,2072.5,0.022509435499199
3-7-f,92687.0,1583.0,0.017078986265603592
3-7,92631.0,1575.0,0.017002947177510767
3-8-f,93859.5,2496.0,0.026592939446726225
3-8,93894.0,2510.0,0.026732272562677063
30-1-f,95304.5,3169.0,0.033251315520253504
30-1,95304.5,3169.0,0.033251315520253504
30-2-f,100420.5,2674.0,0.02662802913747691
30-2,100451.5,2659.0,0.02647048575680801
30-3-f,93362.5,2517.5,0.026964787789530056
30-3,93321.0,2517.5,0.026976779074377684
30-4-f,103836.5,2189.5,0.02108603429429921
30-4,103836.5,2189.5,0.02108603429429921
30-5-f,90291.5,2018.5,0.022355371214344652
30-5,90244.0,2018.5,0.022367137981472454
30-6-f,93887.5,2215.0,0.023592064971375316
30-6,93887.5,2215.0,0.023592064971375316
30-7-f,90918.5,2938.0,0.03231465543316267
30-7,90898.0,2938.0,0.0323219432770798
30-8-f,95110.5,2638.5,0.027741416562840064
30-8,95110.5,2638.5,0.027741416562840064
30-9-f,95601.0,2716.5,0.028414974738757964
30-9,95601.0,2716.5,0.028414974738757964
31-1-f,95001.5,2604.0,0.027410093524839082
31-1,95073.0,2604.0,0.027389479662995802
31-2-f,99416.5,1946.5,0.019579244893956235
31-2,99416.5,1946.5,0.019579244893956235
31-3-f,104036.5,1993.5,0.019161544265714436
31-3,104036.5,1993.5,0.019161544265714436
31-4-f,101482.0,1712.0,0.016869986795687904
31-4,101482.0,1712.0,0.016869986795687904
32-1-f,85509.5,2340.5,0.027371227758319253
32-1,85509.5,2340.5,0.027371227758319253
32-2-f,99446.5,3376.0,0.03394790163555279
32-2,99446.5,3376.0,0.03394790163555279
32-3-f,88739.0,3797.5,0.04279403644395362
32-3,88739.0,3823.5,0.043087030505189375
32-4-f,91159.0,3236.5,0.03550389977950614
32-4,91159.0,3236.5,0.03550389977950614
32-5-f,81749.5,2441.5,0.029865626089456206
32-5,81749.5,2441.5,0.029865626089456206
32-6-f,89320.5,2403.5,0.026908716364104544
32-6,89282.0,2403.5,0.02692031988530723
32-7-f,89023.0,2739.0,0.03076732979117756
32-7,89023.0,2757.5,0.030975141255630567
33-1-f,99920.0,3251.0,0.03253602882305845
33-1,99920.0,3251.0,0.03253602882305845
33-2-f,102532.5,2457.0,0.023963133640552997
33-2,102505.5,2457.0,0.02396944554194653
33-3-f,100434.5,3826.0,0.03809447948663059
33-3,100434.5,3826.0,0.03809447948663059
33-4-f,99353.5,4040.5,0.04066791809045479
33-4,99353.5,4040.5,0.04066791809045479
34-1-f,91298.0,2868.5,0.03141908913667331
34-1,91298.0,2846.5,0.031178120002628755
35-1-f,106934.0,3477.5,0.03252005910187592
35-1,106893.5,3477.5,0.03253238035989092
35-2-f,93807.5,8418.5,0.0897422913946113
35-2,93807.5,8432.5,0.08989153319297498
36-1-f,101551.5,1760.0,0.01733110786152839
36-10-f,92116.0,2855.5,0.03099895783577229
36-10,92116.0,2855.5,0.03099895783577229
36-11-f,89593.5,1908.0,0.021296187781479684
36-11,89593.5,1908.0,0.021296187781479684
36-12-f,87170.0,2667.5,0.030601124239990823
36-12,87219.0,2667.5,0.03058393240005045
36-13-f,99075.5,2041.0,0.020600451171076603
36-13,99075.5,2041.0,0.020600451171076603
36-14-f,97293.0,2381.5,0.024477608872169633
36-14,97263.0,2381.5,0.024485158796253455
36-15-f,99331.5,2425.0,0.024413202257088637
36-15,99331.5,2425.0,0.024413202257088637
36-16-f,93360.0,2172.5,0.02327013710368466
36-16,93360.0,2172.5,0.02327013710368466
36-17-f,97147.5,2231.5,0.022970225687742866
36-17,97104.5,2231.5,0.02298039740691729
36-18-f,96978.5,-,-
36-18,96978.5,-,-
36-19-f,98299.0,2702.0,0.02748756345435864
36-19,98322.0,2702.0,0.027481133418766908
36-1,101551.5,1760.0,0.01733110786152839
36-2-f,90259.5,2589.5,0.028689500828167673
36-20-f,99588.5,229468.0,2.304161625087234
36-20,99588.5,229468.0,2.304161625087234
36-21-f,91893.0,2287.5,0.024893082171656165
36-21,91893.0,2287.5,0.024893082171656165
36-22-f,97065.0,2172.5,0.022381909030031424
36-22,97128.0,2172.5,0.022367391483403345
36-23-f,103646.5,2953.5,0.028495897111817572
36-23,103646.5,2953.5,0.028495897111817572
36-24-f,141261.0,4220.5,0.0298773192884094
36-24,141261.0,4239.5,0.03001182208819136
36-25-f,162321.0,5160.0,0.0317888628088787
36-25,162321.0,5160.0,0.0317888628088787
36-26-f,132322.0,2927.0,0.02212028234156074
36-26,132322.0,2927.0,0.02212028234156074
36-27-f,154053.5,4734.5,0.030732829828598505
36-27,154053.5,4734.5,0.030732829828598505
36-2,90259.5,2589.5,0.028689500828167673
36-3-f,99323.5,2367.0,0.02383121819106254
36-3,99323.5,2367.0,0.02383121819106254
36-4-f,104735.5,1960.0,0.01871380763924362
36-4,104735.5,1960.0,0.01871380763924362
36-5-f,95545.0,1777.0,0.018598566120676122
36-5,95545.0,1777.0,0.018598566120676122
36-6-f,100998.0,2406.0,0.02382225390601794
36-6,100998.0,2406.0,0.02382225390601794
36-7-f,97570.5,2853.0,0.029240395406398452
36-7,97570.5,2853.0,0.029240395406398452
36-8-f,99168.0,2652.0,0.026742497579864473
36-8,99168.0,2655.0,0.026772749273959343
36-9-f,94017.5,2737.0,0.029111601563538703
36-9,94017.5,2737.0,0.029111601563538703
37-1-f,95539.0,2557.5,0.026769172798543003
37-1,95539.0,2573.5,0.026936643674311013
37-2-f,93746.0,2967.0,0.03164935037228255
37-2,93746.0,2967.0,0.03164935037228255
37-3-f,94333.0,3468.5,0.03676868116141753
37-3,94333.0,3468.5,0.03676868116141753
37-4-f,89964.0,3466.0,0.038526521719799034
37-4,89964.0,3466.0,0.038526521719799034
37-5-f,92357.5,2126.5,0.0230246596107517
37-5,92357.5,2116.0,0.022910970955255395
38-1-f,103229.5,3600.0,0.03487375217355504
38-1,103229.5,3612.0,0.03498999801413356
38-2-f,97073.5,2436.5,0.025099537978954093
38-2,97073.5,2436.5,0.025099537978954093
39-1-f,104956.0,2053.0,0.019560577765920958
39-1,104956.0,2053.0,0.019560577765920958
39-2-f,104720.5,2279.0,0.021762692118544126
39-2,104720.5,2279.0,0.021762692118544126
39-3-f,104257.0,2144.0,0.02056456640801097
39-3,104179.0,2144.0,0.02057996333234145
39-4-f,100599.5,2464.0,0.024493163484907977
39-4,100599.5,2464.0,0.024493163484907977
39-5-f,96260.0,2280.0,0.023685850820693955
39-5,96319.0,2299.0,0.02386860328699426
39-6-f,95817.0,1271.0,0.013264869490800172
39-6,95817.0,1297.0,0.013536220086205997
39-7-f,98157.0,1886.5,0.019219210041056676
39-7,98123.0,1886.5,0.019225869571863886
39-8-f,102548.0,2082.5,0.020307563287436128
39-8,102620.5,2086.5,0.020332194834365453
39-9-f,104334.0,1819.0,0.01743439339045757
39-9,104334.0,1819.0,0.01743439339045757
4-1-f,99968.5,2563.5,0.02564307756943437
4-10-f,106234.5,2194.5,0.02065713115795716
4-10,106229.5,2189.5,0.020611035540974966
4-1,99969.0,2596.5,0.025973051646010263
4-2-f,110688.5,2283.0,0.020625448894871643
4-2,110583.0,2290.5,0.020712948644909253
4-3-f,102693.0,2929.0,0.02852190509577089
4-3,102763.5,2929.0,0.028502337892345044
4-4-f,101144.5,2129.5,0.02105403655166618
4-4,101265.0,2127.5,0.02100923320001975
4-5-f,104450.5,2813.0,0.02693141727421123
4-5,104439.5,2775.5,0.026575194251217214
4-6-f,95417.5,1674.5,0.01754919171011607
4-6,95261.0,1663.0,0.017457301518984683
4-7-f,104034.0,2665.0,0.025616625334025415
4-7,103982.0,2665.0,0.02562943586389952
4-8-f,104235.0,2263.5,0.02171535472729889
4-8,104319.0,2234.5,0.02141987557396064
4-9-f,106805.0,2528.0,0.023669303871541595
4-9,106629.5,2530.5,0.02373170651648934
40-1-f,97549.5,2868.5,0.029405583831798216
40-10-f,104492.5,3082.5,0.029499724860635932
40-10,104492.5,3082.5,0.029499724860635932
40-1,97549.5,2868.5,0.029405583831798216
40-2-f,98423.5,4161.0,0.042276488846667716
40-2,98423.5,4130.0,0.041961523416663704
40-3-f,101366.0,2883.0,0.02844148925675276
40-3,101366.0,2883.0,0.02844148925675276
40-4-f,99974.5,1898.5,0.0189898424098145
40-4,99948.0,1898.5,0.01899487733621483
40-5-f,104455.0,3887.0,0.03721219663970131
40-5,104455.0,3887.0,0.03721219663970131
40-6-f,110663.0,3903.0,0.03526924084834136
40-6,110639.0,3903.0,0.035276891512034635
40-7-f,101720.0,3419.5,0.033616791191506096
40-7,101720.0,3419.5,0.033616791191506096
40-8-f,102079.5,2256.0,0.02210042173012211
40-8,102079.5,2256.0,0.02210042173012211
40-9-f,111256.0,2252.0,0.020241604947148918
40-9,111256.0,2252.0,0.020241604947148918
41-1-f,96701.5,1544.0,0.015966660289654246
41-1,96701.5,1544.0,0.015966660289654246
41-2-f,98650.5,2872.0,0.02911287829255807
41-2,98650.5,2872.0,0.02911287829255807
41-3-f,103859.0,3019.0,0.02906825600092433
41-3,103859.0,3019.0,0.02906825600092433
42-1-f,98089.5,2945.5,0.030028698280651852
42-1,98014.5,2945.5,0.03005167602752654
42-2-f,94815.0,3661.5,0.03861730738807151
42-2,94815.0,3661.5,0.03861730738807151
43-1-f,91022.5,2348.5,0.0258013128622044
43-1,91022.5,2348.5,0.0258013128622044
43-2-f,99291.0,3167.5,0.03190117936167427
43-2,99252.5,3167.5,0.03191355381476537
44-1-f,90928.0,4067.5,0.04473319549533697
44-1,90928.0,4067.5,0.04473319549533697
44-2-f,94000.5,3222.5,0.03428173254397583
44-2,94000.5,3222.5,0.03428173254397583
44-3-f,94902.5,2453.5,0.025852848976581227
44-3,94864.5,2453.5,0.025863204886970362
44-4-f,84243.5,1630.0,0.01934867378492109
44-4,84243.5,1630.0,0.01934867378492109
44-5-f,89898.0,2893.5,0.03218647800840953
44-5,89932.5,2893.5,0.032174130597948464
44-6-f,96465.0,3071.5,0.031840563935105995
44-6,96465.0,3071.5,0.031840563935105995
45-1-f,109630.0,2794.5,0.02549028550579221
45-1,109630.0,2794.5,0.02549028550579221
45-2-f,111300.0,2449.5,0.022008086253369273
45-2,111331.5,2464.0,0.02213210097771071
45-3-f,100078.0,2402.5,0.024006275105417776
45-3,100078.0,2402.5,0.024006275105417776
45-4-f,103875.5,5372.5,0.05172056933540633
45-4,103875.5,5372.5,0.05172056933540633
45-5-f,120932.0,4318.0,0.035706016604372705
45-5,120932.0,4247.0,0.03511890980054907
